Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Government,12th,3.52,4,42412,Medchal,Family,2W,2,4663,13988,No,Always On Time,42.41,100.0,75.0,17.6,33.33,80.0,67.02,60.0,59.42,297.1,59.42
Farmer,12th,5.11,2,16919,Khammam,Own,Car,1,9683,6651,Yes,Always On Time,16.92,70.0,75.0,25.55,66.67,80.0,60.69,90.0,60.6,303.02,60.6
Government,Graduate,4.64,0,57458,Mancherial,Family,None,3,18613,26774,Yes,Sometimes Late,57.46,100.0,85.0,23.2,100.0,80.0,53.4,60.0,69.88,349.41,69.88
Trader,Postgraduate,4.47,2,91770,Hyderabad,Rent,Car,1,27511,34229,Yes,Always On Time,91.77,85.0,100.0,22.35,66.67,80.0,62.7,90.0,74.81,374.06,74.81
Government,Graduate,2.23,3,68747,Medak,Own,2W,4,32253,20962,Yes,Sometimes Late,68.75,100.0,85.0,11.15,50.0,80.0,69.51,60.0,65.55,327.75,65.55
Trader,Postgraduate,19.81,1,51346,Nizamabad,Own,Car,3,24468,17500,No,Sometimes Late,51.35,85.0,100.0,99.05,83.33,80.0,65.92,60.0,78.08,390.4,78.08
Gig Worker,10th,7.77,3,113845,Karimnagar,Own,2W,2,50474,35021,Yes,Sometimes Late,100.0,75.0,65.0,38.85,50.0,80.0,69.24,60.0,67.26,336.31,67.26
Trader,Graduate,9.84,4,77740,Adilabad,Rent,2W,2,19430,34236,Yes,Regularly Late,77.74,85.0,85.0,49.2,33.33,80.0,55.96,60.0,65.78,328.9,65.78
Labour,Graduate,6.21,3,112131,Warangal,Rent,Car,2,23346,7575,No,Regularly Late,100.0,60.0,85.0,31.05,50.0,80.0,93.24,60.0,69.91,349.56,69.91
Gig Worker,10th,9.59,2,73695,Jagtial,Family,2W,3,8375,20287,No,Regularly Late,73.69,75.0,65.0,47.95,66.67,80.0,72.47,60.0,67.6,337.99,67.6
Gig Worker,10th,16.68,4,30036,Mahabubabad,Rent,None,1,15364,6755,No,Always On Time,30.04,75.0,65.0,83.4,33.33,80.0,77.51,60.0,63.04,315.18,63.04
Gig Worker,12th,18.09,5,103291,Rangareddy,Family,2W,4,8790,44139,Yes,Always On Time,100.0,75.0,75.0,90.45,16.67,80.0,57.27,90.0,73.05,365.24,73.05
Farmer,Graduate,6.18,0,26107,Mahabubabad,Own,Car,1,11875,10999,Yes,Sometimes Late,26.11,70.0,85.0,30.9,100.0,80.0,57.87,60.0,63.73,318.67,63.73
Farmer,12th,2.12,0,34533,Bhadradri Kothagudem,Family,None,2,5288,1222,Yes,Regularly Late,34.53,70.0,75.0,10.6,100.0,80.0,96.46,60.0,65.82,329.12,65.82
Government,Graduate,8.67,0,20548,Adilabad,Rent,Car,2,8826,6124,Yes,Always On Time,20.55,100.0,85.0,43.35,100.0,80.0,70.2,90.0,73.64,368.19,73.64
Labour,10th,12.59,2,52980,Medak,Family,Car,3,26219,25787,No,Sometimes Late,52.98,60.0,65.0,62.95,66.67,80.0,51.33,60.0,62.37,311.83,62.37
Gig Worker,Graduate,1.11,3,111761,Karimnagar,Own,Car,2,47235,50368,No,Always On Time,100.0,75.0,85.0,5.55,50.0,80.0,54.93,60.0,63.81,319.05,63.81
Government,Graduate,5.24,2,56085,Adilabad,Family,Car,3,21963,10534,Yes,Sometimes Late,56.08,100.0,85.0,26.2,66.67,80.0,81.22,60.0,69.4,346.98,69.4
Gig Worker,12th,19.39,2,50106,Mahabubabad,Rent,2W,4,20958,7768,Yes,Regularly Late,50.11,75.0,75.0,96.95,66.67,80.0,84.5,60.0,73.53,367.64,73.53
Farmer,Graduate,0.71,1,101055,Karimnagar,Own,None,4,5170,30464,Yes,Always On Time,100.0,70.0,85.0,3.55,83.33,80.0,69.85,90.0,72.72,363.59,72.72
Gig Worker,Graduate,1.72,2,11531,Jagtial,Rent,2W,3,5848,2805,Yes,Sometimes Late,11.53,75.0,85.0,8.6,66.67,80.0,75.68,60.0,57.81,289.05,57.81
Trader,Graduate,18.64,2,55579,Mahbubnagar,Rent,None,2,9280,15665,No,Always On Time,55.58,85.0,85.0,93.2,66.67,80.0,71.82,60.0,74.66,373.29,74.66
Gig Worker,Postgraduate,7.24,2,44659,Bhadradri Kothagudem,Rent,2W,2,5966,2297,No,Sometimes Late,44.66,75.0,100.0,36.2,66.67,80.0,94.86,60.0,69.67,348.36,69.67
Government,Graduate,4.86,4,73057,Siddipet,Family,2W,1,17235,22987,No,Sometimes Late,73.06,100.0,85.0,24.3,33.33,80.0,68.54,60.0,65.53,327.64,65.53
Government,Postgraduate,1.14,0,51542,Nalgonda,Own,2W,2,26196,11531,Yes,Regularly Late,51.54,100.0,100.0,5.7,100.0,80.0,77.63,60.0,71.86,359.29,71.86
Trader,12th,0.61,1,103723,Mahabubabad,Rent,2W,4,50159,51184,No,Sometimes Late,100.0,85.0,75.0,3.05,83.33,80.0,50.65,60.0,67.13,335.65,67.13
Trader,Postgraduate,14.17,5,42819,Bhadradri Kothagudem,Own,Car,1,22864,3741,No,Always On Time,42.82,85.0,100.0,70.85,16.67,80.0,91.26,60.0,68.32,341.62,68.32
Government,Graduate,7.97,0,57431,Medchal,Family,2W,1,7238,4975,No,Regularly Late,57.43,100.0,85.0,39.85,100.0,80.0,91.34,60.0,76.7,383.51,76.7
Labour,10th,8.21,3,49056,Warangal,Family,2W,3,6409,171,No,Always On Time,49.06,60.0,65.0,41.05,50.0,80.0,99.65,60.0,63.09,315.47,63.09
Farmer,10th,0.62,2,52865,Siddipet,Own,2W,4,24540,22690,No,Always On Time,52.86,70.0,65.0,3.1,66.67,80.0,57.08,60.0,56.84,284.19,56.84
Government,Graduate,13.77,0,72085,Mahabubabad,Rent,2W,1,31343,10649,Yes,Regularly Late,72.08,100.0,85.0,68.85,100.0,80.0,85.23,60.0,81.4,406.98,81.4
Farmer,Postgraduate,1.6,4,61208,Siddipet,Family,None,3,12785,7997,No,Regularly Late,61.21,70.0,100.0,8.0,33.33,80.0,86.93,60.0,62.43,312.17,62.43
Farmer,12th,13.53,2,85721,Siddipet,Own,None,2,32896,8986,Yes,Regularly Late,85.72,70.0,75.0,67.65,66.67,80.0,89.52,60.0,74.32,371.6,74.32
Labour,10th,9.62,2,40788,Mahabubabad,Family,2W,1,7823,14533,No,Sometimes Late,40.79,60.0,65.0,48.1,66.67,80.0,64.37,60.0,60.62,303.08,60.62
Government,Postgraduate,13.09,5,74175,Hyderabad,Family,2W,1,40092,29126,No,Always On Time,74.18,100.0,100.0,65.45,16.67,80.0,60.73,60.0,69.63,348.14,69.63
Gig Worker,Postgraduate,3.19,3,8205,Medchal,Family,2W,1,3040,2916,Yes,Regularly Late,8.2,75.0,100.0,15.95,50.0,80.0,64.47,60.0,56.7,283.51,56.7
Gig Worker,Graduate,11.71,4,114686,Medak,Own,None,2,22938,3639,No,Always On Time,100.0,75.0,85.0,58.55,33.33,80.0,96.83,60.0,73.59,367.94,73.59
Trader,Graduate,7.31,2,40485,Nizamabad,Own,2W,2,10135,9981,No,Sometimes Late,40.48,85.0,85.0,36.55,66.67,80.0,75.35,60.0,66.13,330.66,66.13
Gig Worker,Postgraduate,19.45,1,45071,Warangal,Family,Car,4,20756,10310,No,Regularly Late,45.07,75.0,100.0,97.25,83.33,80.0,77.13,60.0,77.22,386.11,77.22
Gig Worker,10th,14.34,2,82903,Mancherial,Own,Car,1,5766,11211,No,Always On Time,82.9,75.0,65.0,71.7,66.67,80.0,86.48,60.0,73.47,367.34,73.47
Government,10th,6.96,4,119766,Warangal,Own,Car,4,67169,3608,Yes,Sometimes Late,100.0,100.0,65.0,34.8,33.33,80.0,96.99,60.0,71.27,356.33,71.27
Farmer,Graduate,0.41,1,92690,Hyderabad,Rent,2W,1,26171,40246,No,Regularly Late,92.69,70.0,85.0,2.05,83.33,80.0,56.58,60.0,66.21,331.03,66.21
Government,10th,13.18,2,35761,Medchal,Rent,Car,4,5888,16410,No,Sometimes Late,35.76,100.0,65.0,65.9,66.67,80.0,54.11,60.0,65.93,329.65,65.93
Trader,12th,9.48,5,95178,Jagtial,Rent,None,3,7029,43910,No,Sometimes Late,95.18,85.0,75.0,47.4,16.67,80.0,53.87,60.0,64.14,320.69,64.14
Government,Postgraduate,7.64,3,90905,Rangareddy,Family,Car,2,6768,25352,No,Always On Time,90.9,100.0,100.0,38.2,50.0,80.0,72.11,60.0,73.9,369.51,73.9
Government,Graduate,12.37,0,38874,Jagtial,Family,None,3,10639,1842,No,Sometimes Late,38.87,100.0,85.0,61.85,100.0,80.0,95.26,60.0,77.62,388.12,77.62
Trader,12th,10.1,4,11812,Mancherial,Rent,2W,1,6791,1653,No,Regularly Late,11.81,85.0,75.0,50.5,33.33,80.0,86.01,60.0,60.21,301.03,60.21
Trader,Postgraduate,1.08,2,30671,Karimnagar,Rent,2W,4,10118,805,No,Sometimes Late,30.67,85.0,100.0,5.4,66.67,80.0,97.38,60.0,65.64,328.2,65.64
Farmer,Graduate,3.35,5,23625,Medak,Family,Car,1,7664,10958,No,Always On Time,23.62,70.0,85.0,16.75,16.67,80.0,53.62,60.0,50.71,253.54,50.71
Government,Graduate,2.45,2,82789,Khammam,Own,None,4,25001,32986,No,Always On Time,82.79,100.0,85.0,12.25,66.67,80.0,60.16,60.0,68.36,341.79,68.36
Government,12th,14.06,1,110820,Kamareddy,Own,None,3,34112,43940,No,Regularly Late,100.0,100.0,75.0,70.3,83.33,80.0,60.35,60.0,78.62,393.11,78.62
Farmer,Postgraduate,4.59,1,108258,Rangareddy,Own,Car,4,8469,35517,No,Regularly Late,100.0,70.0,100.0,22.95,83.33,80.0,67.19,60.0,72.93,364.67,72.93
Labour,10th,13.13,2,64422,Siddipet,Family,Car,3,13519,28278,No,Always On Time,64.42,60.0,65.0,65.65,66.67,80.0,56.11,60.0,64.73,323.65,64.73
Farmer,Postgraduate,14.84,5,93579,Hyderabad,Family,2W,3,27718,27402,No,Always On Time,93.58,70.0,100.0,74.2,16.67,80.0,70.72,60.0,70.65,353.23,70.65
Farmer,Postgraduate,3.73,0,92011,Hyderabad,Family,None,2,24066,42781,Yes,Always On Time,92.01,70.0,100.0,18.65,100.0,80.0,53.5,90.0,75.52,377.6,75.52
Farmer,10th,13.89,5,86769,Mancherial,Family,2W,2,33666,4292,No,Always On Time,86.77,70.0,65.0,69.45,16.67,80.0,95.05,60.0,67.87,339.34,67.87
Farmer,Graduate,12.43,5,59207,Karimnagar,Own,None,1,21383,23958,No,Sometimes Late,59.21,70.0,85.0,62.15,16.67,80.0,59.54,60.0,61.57,307.85,61.57
Government,Postgraduate,7.15,1,88857,Nizamabad,Own,2W,1,52103,9433,Yes,Regularly Late,88.86,100.0,100.0,35.75,83.33,80.0,89.38,60.0,79.67,398.33,79.67
Labour,Graduate,2.12,0,116584,Mahbubnagar,Rent,None,1,5658,52070,Yes,Regularly Late,100.0,60.0,85.0,10.6,100.0,80.0,55.34,60.0,68.87,344.34,68.87
Gig Worker,Postgraduate,11.89,5,44685,Mahbubnagar,Own,None,2,5781,21875,Yes,Sometimes Late,44.68,75.0,100.0,59.45,16.67,80.0,51.05,60.0,60.86,304.28,60.86
Government,12th,13.06,3,91811,Mahbubnagar,Rent,None,2,35181,18353,No,Sometimes Late,91.81,100.0,75.0,65.3,50.0,80.0,80.01,60.0,75.27,376.33,75.27
Farmer,Postgraduate,1.88,5,95588,Mahabubabad,Family,2W,4,14628,29664,No,Regularly Late,95.59,70.0,100.0,9.4,16.67,80.0,68.97,60.0,62.58,312.89,62.58
Government,Postgraduate,1.26,0,21199,Medchal,Family,None,4,3182,7115,Yes,Regularly Late,21.2,100.0,100.0,6.3,100.0,80.0,66.44,60.0,66.74,333.71,66.74
Trader,10th,6.99,0,10190,Medchal,Family,None,3,4702,3913,Yes,Sometimes Late,10.19,85.0,65.0,34.95,100.0,80.0,61.6,60.0,62.09,310.46,62.09
Farmer,12th,13.15,5,102426,Mahabubabad,Family,2W,4,12894,36117,Yes,Regularly Late,100.0,70.0,75.0,65.75,16.67,80.0,64.74,60.0,66.52,332.6,66.52
Gig Worker,Postgraduate,7.41,2,25576,Mahabubabad,Rent,2W,3,11497,6264,Yes,Regularly Late,25.58,75.0,100.0,37.05,66.67,80.0,75.51,60.0,64.98,324.88,64.98
Government,10th,15.73,2,70671,Mahbubnagar,Rent,None,4,41538,14687,No,Sometimes Late,70.67,100.0,65.0,78.65,66.67,80.0,79.22,60.0,75.03,375.13,75.03
Farmer,10th,3.61,2,59959,Medchal,Own,None,1,22467,24868,Yes,Regularly Late,59.96,70.0,65.0,18.05,66.67,80.0,58.53,60.0,59.78,298.88,59.78
Farmer,Postgraduate,16.88,1,24005,Hyderabad,Family,Car,2,11828,7187,No,Regularly Late,24.01,70.0,100.0,84.4,83.33,80.0,70.06,60.0,71.47,357.37,71.47
Government,12th,13.87,2,63441,Mancherial,Family,None,2,29010,23938,No,Sometimes Late,63.44,100.0,75.0,69.35,66.67,80.0,62.27,60.0,72.09,360.45,72.09
Gig Worker,Graduate,10.6,0,72130,Mahbubnagar,Own,Car,2,38890,19691,Yes,Sometimes Late,72.13,75.0,85.0,53.0,100.0,80.0,72.7,60.0,74.73,373.64,74.73
Labour,12th,16.14,2,37506,Bhadradri Kothagudem,Family,None,2,9847,11545,No,Sometimes Late,37.51,60.0,75.0,80.7,66.67,80.0,69.22,60.0,66.14,330.68,66.14
Gig Worker,Postgraduate,6.08,4,16047,Medchal,Rent,None,4,5350,3285,No,Regularly Late,16.05,75.0,100.0,30.4,33.33,80.0,79.53,60.0,59.29,296.44,59.29
Gig Worker,Postgraduate,2.65,1,45745,Mahabubabad,Family,Car,4,8086,11,Yes,Sometimes Late,45.74,75.0,100.0,13.25,83.33,80.0,99.98,60.0,69.66,348.32,69.66
Trader,Graduate,5.96,5,24314,Warangal,Family,2W,1,12804,10144,Yes,Regularly Late,24.31,85.0,85.0,29.8,16.67,80.0,58.28,60.0,54.88,274.41,54.88
Trader,Postgraduate,10.65,5,17191,Mancherial,Family,None,2,7459,5677,Yes,Sometimes Late,17.19,85.0,100.0,53.25,16.67,80.0,66.98,60.0,59.89,299.43,59.89
Farmer,12th,2.55,2,11321,Mahbubnagar,Rent,Car,4,4044,4533,Yes,Always On Time,11.32,70.0,75.0,12.75,66.67,80.0,59.96,90.0,58.21,291.06,58.21
Trader,12th,7.96,1,59939,Mancherial,Rent,None,2,4326,11145,Yes,Regularly Late,59.94,85.0,75.0,39.8,83.33,80.0,81.41,60.0,70.56,352.8,70.56
Government,Graduate,11.81,2,97752,Siddipet,Own,Car,1,50225,39115,Yes,Sometimes Late,97.75,100.0,85.0,59.05,66.67,80.0,59.99,60.0,76.06,380.28,76.06
Trader,10th,4.89,0,96508,Medchal,Family,None,2,3857,35468,No,Sometimes Late,96.51,85.0,65.0,24.45,100.0,80.0,63.25,60.0,71.78,358.88,71.78
Trader,10th,18.0,5,76657,Karimnagar,Rent,Car,1,45448,23660,No,Regularly Late,76.66,85.0,65.0,90.0,16.67,80.0,69.14,60.0,67.81,339.04,67.81
Gig Worker,Graduate,3.2,2,38830,Siddipet,Family,Car,4,16484,14025,No,Regularly Late,38.83,75.0,85.0,16.0,66.67,80.0,63.88,60.0,60.67,303.36,60.67
Labour,12th,12.0,4,56414,Nizamabad,Family,2W,1,18408,22670,Yes,Sometimes Late,56.41,60.0,75.0,60.0,33.33,80.0,59.82,60.0,60.57,302.85,60.57
Government,12th,12.16,1,61604,Bhadradri Kothagudem,Own,Car,2,29353,7962,No,Always On Time,61.6,100.0,75.0,60.8,83.33,80.0,87.08,60.0,75.98,379.88,75.98
Farmer,Postgraduate,13.23,4,89593,Kamareddy,Family,None,1,50516,21565,No,Always On Time,89.59,70.0,100.0,66.15,33.33,80.0,75.93,60.0,71.88,359.38,71.88
Government,Postgraduate,2.83,5,95809,Medchal,Rent,None,3,33902,8004,No,Regularly Late,95.81,100.0,100.0,14.15,16.67,80.0,91.65,60.0,69.78,348.92,69.78
Gig Worker,Postgraduate,15.87,4,71586,Mancherial,Own,None,1,13026,26704,Yes,Regularly Late,71.59,75.0,100.0,79.35,33.33,80.0,62.7,60.0,70.25,351.23,70.25
Trader,10th,10.47,5,39560,Warangal,Family,Car,1,11829,3523,No,Regularly Late,39.56,85.0,65.0,52.35,16.67,80.0,91.09,60.0,61.21,306.04,61.21
Trader,10th,0.52,4,82789,Kamareddy,Family,2W,4,25613,3500,Yes,Sometimes Late,82.79,85.0,65.0,2.6,33.33,80.0,95.77,60.0,63.06,315.31,63.06
Trader,Graduate,6.05,4,118259,Medak,Family,2W,3,53448,19086,No,Sometimes Late,100.0,85.0,85.0,30.25,33.33,80.0,83.86,60.0,69.68,348.4,69.68
Farmer,12th,1.35,2,16631,Mahabubabad,Rent,2W,4,5295,1555,Yes,Always On Time,16.63,70.0,75.0,6.75,66.67,80.0,90.65,90.0,61.96,309.81,61.96
Labour,10th,1.41,2,91349,Karimnagar,Rent,2W,1,20001,8354,Yes,Sometimes Late,91.35,60.0,65.0,7.05,66.67,80.0,90.85,60.0,65.12,325.58,65.12
Gig Worker,Graduate,1.07,2,101161,Siddipet,Own,Car,2,10979,1758,No,Sometimes Late,100.0,75.0,85.0,5.35,66.67,80.0,98.26,60.0,71.28,356.42,71.28
Gig Worker,10th,17.61,5,65701,Warangal,Family,2W,4,29974,596,No,Always On Time,65.7,75.0,65.0,88.05,16.67,80.0,99.09,60.0,68.69,343.44,68.69
Trader,Postgraduate,0.88,0,38585,Mahbubnagar,Family,None,3,10508,2834,Yes,Always On Time,38.58,85.0,100.0,4.4,100.0,80.0,92.66,90.0,73.83,369.15,73.83
Labour,12th,17.71,3,101642,Siddipet,Rent,Car,3,25117,19200,No,Regularly Late,100.0,60.0,75.0,88.55,50.0,80.0,81.11,60.0,74.33,371.66,74.33
Government,12th,6.73,3,109514,Nizamabad,Rent,Car,3,52731,24223,No,Sometimes Late,100.0,100.0,75.0,33.65,50.0,80.0,77.88,60.0,72.07,360.33,72.07
Labour,Graduate,12.47,2,12159,Medak,Rent,None,4,4589,3178,Yes,Regularly Late,12.16,60.0,85.0,62.35,66.67,80.0,73.87,60.0,62.51,312.53,62.51
Gig Worker,12th,17.79,2,19555,Khammam,Family,Car,1,5762,7532,No,Always On Time,19.56,75.0,75.0,88.95,66.67,80.0,61.48,60.0,65.83,329.16,65.83
Government,10th,11.16,3,11407,Nizamabad,Family,2W,3,3761,3266,Yes,Regularly Late,11.41,100.0,65.0,55.8,50.0,80.0,71.37,60.0,61.7,308.49,61.7
Farmer,12th,13.47,2,16088,Mahbubnagar,Rent,Car,2,3170,4078,No,Always On Time,16.09,70.0,75.0,67.35,66.67,80.0,74.65,60.0,63.72,318.6,63.72
Farmer,Postgraduate,4.09,3,25379,Rangareddy,Rent,2W,2,11811,5679,No,Regularly Late,25.38,70.0,100.0,20.45,50.0,80.0,77.62,60.0,60.43,302.16,60.43
Trader,12th,1.64,0,73281,Warangal,Family,Car,3,26926,9728,No,Sometimes Late,73.28,85.0,75.0,8.2,100.0,80.0,86.73,60.0,71.03,355.13,71.03
Gig Worker,Postgraduate,6.47,3,48034,Adilabad,Family,Car,2,5065,20530,No,Sometimes Late,48.03,75.0,100.0,32.35,50.0,80.0,57.26,60.0,62.83,314.15,62.83
Farmer,12th,11.58,4,56251,Karimnagar,Own,2W,2,5112,13366,No,Regularly Late,56.25,70.0,75.0,57.9,33.33,80.0,76.24,60.0,63.59,317.95,63.59
Trader,12th,19.55,0,102946,Siddipet,Own,2W,3,26215,5577,Yes,Always On Time,100.0,85.0,75.0,97.75,100.0,80.0,94.58,90.0,90.29,451.46,90.29
Government,Graduate,2.16,3,34003,Nizamabad,Rent,Car,4,17185,6904,Yes,Always On Time,34.0,100.0,85.0,10.8,50.0,80.0,79.7,90.0,66.19,330.94,66.19
Farmer,10th,6.25,3,70157,Medak,Own,None,2,29462,29353,No,Regularly Late,70.16,70.0,65.0,31.25,50.0,80.0,58.16,60.0,60.57,302.86,60.57
Government,Graduate,15.78,3,27533,Adilabad,Rent,Car,1,14236,1898,No,Always On Time,27.53,100.0,85.0,78.9,50.0,80.0,93.11,60.0,71.82,359.09,71.82
Gig Worker,12th,13.95,4,117067,Karimnagar,Family,Car,3,61649,21488,No,Always On Time,100.0,75.0,75.0,69.75,33.33,80.0,81.64,60.0,71.84,359.21,71.84
Government,12th,17.76,4,107998,Siddipet,Rent,None,1,56657,2558,Yes,Regularly Late,100.0,100.0,75.0,88.8,33.33,80.0,97.63,60.0,79.35,396.73,79.35
Gig Worker,12th,13.69,4,104711,Bhadradri Kothagudem,Rent,None,2,38139,30653,Yes,Always On Time,100.0,75.0,75.0,68.45,33.33,80.0,70.73,90.0,74.06,370.32,74.06
Trader,12th,16.27,3,16859,Rangareddy,Own,Car,2,3160,4128,Yes,Always On Time,16.86,85.0,75.0,81.35,50.0,80.0,75.52,90.0,69.22,346.08,69.22
Government,Postgraduate,19.45,0,84342,Mancherial,Family,Car,4,10421,31775,No,Sometimes Late,84.34,100.0,100.0,97.25,100.0,80.0,62.33,60.0,85.49,427.45,85.49
Farmer,10th,7.86,4,85442,Adilabad,Own,Car,1,40579,14882,No,Sometimes Late,85.44,70.0,65.0,39.3,33.33,80.0,82.58,60.0,64.46,322.29,64.46
Farmer,Postgraduate,14.12,1,22752,Khammam,Family,Car,2,3625,1194,No,Regularly Late,22.75,70.0,100.0,70.6,83.33,80.0,94.75,60.0,72.68,363.4,72.68
Farmer,10th,4.03,0,12491,Mahbubnagar,Own,Car,1,5317,2381,Yes,Regularly Late,12.49,70.0,65.0,20.15,100.0,80.0,80.94,60.0,61.07,305.36,61.07
Trader,Graduate,12.6,4,98899,Kamareddy,Family,2W,3,19524,48909,No,Sometimes Late,98.9,85.0,85.0,63.0,33.33,80.0,50.55,60.0,69.47,347.36,69.47
Farmer,12th,12.17,3,23768,Mahabubabad,Family,Car,2,9479,2347,No,Regularly Late,23.77,70.0,75.0,60.85,50.0,80.0,90.13,60.0,63.72,318.59,63.72
Farmer,12th,13.82,0,31795,Mahbubnagar,Own,None,3,5218,3421,Yes,Regularly Late,31.8,70.0,75.0,69.1,100.0,80.0,89.24,60.0,71.89,359.46,71.89
Labour,Postgraduate,15.83,1,46664,Medak,Own,None,3,12489,219,No,Always On Time,46.66,60.0,100.0,79.15,83.33,80.0,99.53,60.0,76.08,380.42,76.08
Gig Worker,Graduate,3.93,0,95930,Karimnagar,Family,None,4,49169,29417,No,Regularly Late,95.93,75.0,85.0,19.65,100.0,80.0,69.34,60.0,73.11,365.57,73.11
Labour,Graduate,9.75,1,92913,Bhadradri Kothagudem,Rent,None,3,18709,33466,Yes,Sometimes Late,92.91,60.0,85.0,48.75,83.33,80.0,63.98,60.0,71.75,358.74,71.75
Gig Worker,Postgraduate,1.49,5,70038,Rangareddy,Rent,2W,1,37812,5212,No,Sometimes Late,70.04,75.0,100.0,7.45,16.67,80.0,92.56,60.0,62.71,313.57,62.71
Labour,Graduate,11.79,3,91696,Mancherial,Own,Car,1,13388,24552,No,Sometimes Late,91.7,60.0,85.0,58.95,50.0,80.0,73.22,60.0,69.86,349.29,69.86
Labour,10th,14.47,3,9657,Nalgonda,Family,2W,3,3488,662,No,Sometimes Late,9.66,60.0,65.0,72.35,50.0,80.0,93.15,60.0,61.27,306.35,61.27
Gig Worker,Postgraduate,0.25,2,22968,Siddipet,Rent,Car,4,6201,1527,Yes,Always On Time,22.97,75.0,100.0,1.25,66.67,80.0,93.35,90.0,66.15,330.77,66.15
Trader,Graduate,0.26,2,110151,Medchal,Rent,Car,1,25858,39631,No,Sometimes Late,100.0,85.0,85.0,1.3,66.67,80.0,64.02,60.0,67.75,338.74,67.75
Trader,12th,11.19,4,31342,Medak,Family,Car,4,4671,11059,Yes,Regularly Late,31.34,85.0,75.0,55.95,33.33,80.0,64.72,60.0,60.67,303.34,60.67
Trader,Graduate,15.64,2,117786,Siddipet,Family,Car,3,10789,54048,No,Always On Time,100.0,85.0,85.0,78.2,66.67,80.0,54.11,60.0,76.12,380.61,76.12
Trader,12th,0.74,3,88167,Medak,Own,None,2,35128,18590,Yes,Always On Time,88.17,85.0,75.0,3.7,50.0,80.0,78.92,90.0,68.85,344.24,68.85
Labour,10th,13.3,1,28758,Warangal,Rent,Car,3,11992,6380,Yes,Sometimes Late,28.76,60.0,65.0,66.5,83.33,80.0,77.82,60.0,65.18,325.88,65.18
Trader,Graduate,1.75,1,107886,Nizamabad,Own,Car,1,10772,17690,No,Always On Time,100.0,85.0,85.0,8.75,83.33,80.0,83.6,60.0,73.21,366.05,73.21
Trader,10th,7.37,5,87868,Hyderabad,Family,None,1,7786,27939,Yes,Always On Time,87.87,85.0,65.0,36.85,16.67,80.0,68.2,90.0,66.2,330.99,66.2
Labour,10th,8.65,3,23211,Hyderabad,Rent,None,2,12464,4766,No,Sometimes Late,23.21,60.0,65.0,43.25,50.0,80.0,79.47,60.0,57.62,288.08,57.62
Farmer,10th,9.37,0,10290,Khammam,Own,2W,3,4570,300,Yes,Sometimes Late,10.29,70.0,65.0,46.85,100.0,80.0,97.08,60.0,66.15,330.77,66.15
Trader,12th,15.99,1,85139,Jagtial,Rent,Car,3,27829,26633,Yes,Regularly Late,85.14,85.0,75.0,79.95,83.33,80.0,68.72,60.0,77.14,385.71,77.14
Labour,Postgraduate,7.74,2,108933,Karimnagar,Rent,Car,1,33090,34711,No,Sometimes Late,100.0,60.0,100.0,38.7,66.67,80.0,68.14,60.0,71.69,358.44,71.69
Trader,Graduate,11.13,3,88106,Mancherial,Own,2W,1,15230,40831,No,Always On Time,88.11,85.0,85.0,55.65,50.0,80.0,53.66,60.0,69.68,348.38,69.68
Trader,Postgraduate,10.48,5,21354,Jagtial,Rent,2W,4,5785,8229,No,Regularly Late,21.35,85.0,100.0,52.4,16.67,80.0,61.47,60.0,59.61,298.05,59.61
Farmer,12th,3.7,4,55156,Khammam,Family,2W,2,16958,3905,No,Sometimes Late,55.16,70.0,75.0,18.5,33.33,80.0,92.92,60.0,60.61,303.07,60.61
Farmer,Graduate,7.5,0,47661,Hyderabad,Rent,None,3,6752,6549,No,Always On Time,47.66,70.0,85.0,37.5,100.0,80.0,86.26,60.0,70.8,354.01,70.8
Trader,Postgraduate,4.24,3,69659,Mahabubabad,Rent,Car,1,26262,933,No,Regularly Late,69.66,85.0,100.0,21.2,50.0,80.0,98.66,60.0,70.56,352.82,70.56
Government,Graduate,4.92,1,113113,Jagtial,Rent,Car,4,47181,29306,No,Regularly Late,100.0,100.0,85.0,24.6,83.33,80.0,74.09,60.0,75.88,379.39,75.88
Gig Worker,Postgraduate,13.38,3,53347,Adilabad,Rent,None,2,4077,12543,No,Always On Time,53.35,75.0,100.0,66.9,50.0,80.0,76.49,60.0,70.22,351.08,70.22
Government,12th,14.12,2,78455,Mancherial,Rent,Car,4,6880,4570,No,Always On Time,78.46,100.0,75.0,70.6,66.67,80.0,94.18,60.0,78.11,390.56,78.11
Government,Postgraduate,2.72,5,71719,Jagtial,Own,None,4,3941,23203,No,Regularly Late,71.72,100.0,100.0,13.6,16.67,80.0,67.65,60.0,63.7,318.52,63.7
Farmer,Graduate,12.49,2,85811,Rangareddy,Own,None,3,23628,2518,Yes,Always On Time,85.81,70.0,85.0,62.45,66.67,80.0,97.07,90.0,79.62,398.12,79.62
