employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Retired,Postgraduate,10.5,4,93715,Khammam,Own,2W,2,26443,445,Yes,Rarely Paid,69.27,346.35
Gig Worker,Graduate,5.1,2,52919,Nalgonda,Rent,Car,2,39862,48352,No,Always On Time,47.44,237.2
Trader,Graduate,7.0,2,101293,Karimnagar,Family,None,3,51711,46917,No,Sometimes Late,73.83,369.15
Trader,Graduate,5.3,0,119168,Khammam,Rent,None,3,43406,12886,Yes,Rarely Paid,77.95,389.75
Government,10th,15.4,0,118910,Rangareddy,Rent,2W,2,29204,28752,No,Sometimes Late,93.1,465.5
Government,10th,12.9,2,42355,Hyderabad,Own,None,4,58785,25750,Yes,Rarely Paid,53.86,269.3
Student,Graduate,13.9,0,41946,Rangareddy,Own,2W,4,23138,41497,Yes,Always On Time,61.82,309.1
Other,Graduate,5.4,2,78726,Karimnagar,Rent,Car,4,38028,41990,Yes,Sometimes Late,60.8,304.0
Trader,10th,9.0,3,69321,Hyderabad,Family,None,4,4321,20630,No,Always On Time,58.16,290.8
Government,Graduate,15.2,2,46747,Kamareddy,Rent,None,3,48644,30254,No,Regularly Late,59.51,297.55
Retired,Graduate,9.0,4,92570,Kamareddy,Own,2W,4,52344,42898,No,Always On Time,66.45,332.25
Gig Worker,10th,17.3,0,38675,Kamareddy,Rent,2W,3,23270,18359,Yes,Sometimes Late,65.29,326.45
Other,10th,9.7,4,104977,Nalgonda,Rent,None,2,16893,37442,Yes,Sometimes Late,71.22,356.1
Retired,Postgraduate,14.3,0,67055,Rangareddy,Rent,Car,4,40612,13006,No,Rarely Paid,74.98,374.9
Gig Worker,12th,5.5,3,40732,Warangal,Rent,Car,3,12448,27363,No,Regularly Late,38.62,193.1
Self-Employed,Postgraduate,14.2,0,108582,Jagtial,Rent,Car,1,43857,29133,Yes,Always On Time,91.3,456.5
Trader,10th,3.2,3,52382,Hyderabad,Rent,Car,4,11340,49851,Yes,Regularly Late,40.99,204.95
Unemployed,Primary,9.5,0,27117,Bhadradri Kothagudem,Own,Car,2,55130,10524,Yes,Rarely Paid,47.81,239.05
Labour,Postgraduate,10.8,4,117085,Rangareddy,Family,None,3,13906,46065,Yes,Regularly Late,72.87,364.35
Student,Primary,12.7,5,19053,Adilabad,Rent,Car,3,22946,2520,Yes,Always On Time,31.91,159.55
Labour,Postgraduate,9.7,0,15464,Kamareddy,Family,None,3,32757,12724,No,Regularly Late,42.28,211.4
Private,12th,11.4,3,90860,Khammam,Family,2W,3,7194,14222,Yes,Sometimes Late,72.53,362.65
Retired,12th,16.4,3,74535,Hyderabad,Rent,2W,4,17450,7476,No,Regularly Late,71.87,359.35
Farmer,12th,19.2,2,68802,Medchal,Family,2W,2,18667,10239,Yes,Rarely Paid,76.53,382.65
Private,Graduate,0.9,1,118133,Rangareddy,Family,None,3,14925,27558,No,Rarely Paid,68.02,340.1
Trader,10th,11.0,5,69964,Mahbubnagar,Family,Car,3,42008,3053,Yes,Always On Time,54.82,274.1
Gig Worker,Postgraduate,17.3,1,93524,Bhadradri Kothagudem,Family,2W,4,41424,15757,No,Always On Time,89.38,446.9
Self-Employed,12th,7.9,0,71654,Nalgonda,Rent,Car,4,31367,13883,No,Rarely Paid,67.68,338.4
Private,Graduate,13.2,4,82565,Nalgonda,Own,2W,1,22143,32127,Yes,Rarely Paid,67.75,338.75
Student,Primary,8.1,1,64181,Siddipet,Family,2W,2,47746,36932,Yes,Regularly Late,60.91,304.55
Government,Primary,2.4,5,45574,Khammam,Own,None,3,52773,16239,Yes,Sometimes Late,29.72,148.6
Other,10th,10.0,5,62907,Nalgonda,Family,2W,2,13855,32390,Yes,Rarely Paid,49.79,248.95
Trader,12th,13.8,1,12949,Rangareddy,Rent,Car,4,19771,30077,No,Rarely Paid,43.84,219.2
Gig Worker,Postgraduate,4.5,1,77187,Khammam,Family,2W,4,19675,46970,No,Regularly Late,62.01,310.05
Gig Worker,10th,3.0,4,45323,Warangal,Family,Car,3,47772,40031,No,Always On Time,33.83,169.15
Other,12th,11.0,5,93444,Nalgonda,Rent,Car,4,16590,22013,No,Rarely Paid,66.56,332.8
Farmer,Postgraduate,6.1,5,14240,Karimnagar,Rent,2W,2,42030,46770,Yes,Rarely Paid,19.6,98.0
Trader,Postgraduate,14.8,5,55712,Nalgonda,Rent,None,4,56346,46672,No,Regularly Late,53.39,266.95
Unemployed,12th,11.5,3,77191,Jagtial,Own,Car,4,34722,28656,No,Sometimes Late,65.85,329.25
Government,10th,13.6,3,33545,Rangareddy,Rent,Car,2,55793,12628,No,Rarely Paid,47.17,235.85
Unemployed,10th,2.7,2,51191,Khammam,Family,None,2,43056,27901,Yes,Always On Time,42.98,214.9
Student,10th,6.5,5,30492,Siddipet,Family,2W,1,41063,26203,No,Sometimes Late,28.33,141.65
Other,Postgraduate,10.5,2,55473,Mahbubnagar,Rent,None,1,20152,12755,No,Sometimes Late,56.82,284.1
Self-Employed,Primary,10.2,0,103820,Warangal,Family,None,4,26747,11500,No,Always On Time,85.3,426.5
Farmer,Postgraduate,11.1,5,11113,Mancherial,Own,None,4,40084,23826,No,Sometimes Late,25.54,127.7
Self-Employed,Graduate,18.8,0,11553,Hyderabad,Rent,2W,2,57974,18908,Yes,Sometimes Late,53.98,269.9
Unemployed,Postgraduate,10.3,4,10237,Jagtial,Rent,None,3,14276,44699,No,Regularly Late,27.24,136.2
Self-Employed,Postgraduate,19.4,4,78522,Medak,Own,Car,2,29021,577,Yes,Regularly Late,75.03,375.15
Farmer,Postgraduate,4.0,5,29710,Rangareddy,Family,2W,2,12489,10460,No,Sometimes Late,24.19,120.95
Gig Worker,Graduate,17.0,0,89988,Adilabad,Own,2W,3,3964,9784,No,Rarely Paid,90.49,452.45
Unemployed,Postgraduate,15.9,0,98896,Karimnagar,Rent,None,2,40787,43265,No,Always On Time,93.3,466.5
Self-Employed,12th,4.6,5,94134,Bhadradri Kothagudem,Own,None,2,53718,47218,Yes,Regularly Late,57.3,286.5
Trader,Graduate,2.2,5,93685,Mancherial,Own,None,4,20393,23712,Yes,Sometimes Late,53.48,267.4
Other,Graduate,19.4,0,81502,Adilabad,Rent,Car,4,55520,9150,No,Always On Time,89.85,449.25
Other,10th,14.2,2,98304,Khammam,Family,2W,2,5275,46222,Yes,Rarely Paid,83.79,418.95
Self-Employed,Primary,14.0,4,49524,Adilabad,Rent,None,1,31311,2891,Yes,Regularly Late,52.43,262.15
Unemployed,10th,1.1,3,11774,Nalgonda,Family,2W,2,20625,14566,Yes,Always On Time,17.54,87.7
Farmer,Primary,10.9,0,23004,Nalgonda,Family,Car,3,43233,35076,Yes,Regularly Late,47.85,239.25
Farmer,Primary,5.1,2,21531,Khammam,Family,Car,3,3154,16222,Yes,Always On Time,31.75,158.75
Student,Graduate,17.1,5,57550,Nizamabad,Family,2W,2,8132,11267,Yes,Rarely Paid,57.76,288.8
Student,Primary,6.2,0,28965,Jagtial,Own,Car,3,16496,48298,No,Sometimes Late,43.78,218.9
Private,Postgraduate,4.3,0,33145,Khammam,Rent,2W,2,32286,19631,No,Rarely Paid,43.02,215.1
Private,Primary,14.1,0,113604,Mahbubnagar,Rent,None,3,39639,47116,Yes,Sometimes Late,91.15,455.75
Farmer,Postgraduate,14.4,0,64723,Siddipet,Own,Car,4,44118,9838,Yes,Always On Time,73.96,369.8
Private,12th,17.1,3,67239,Siddipet,Family,2W,3,55916,14847,Yes,Always On Time,69.27,346.35
Farmer,Postgraduate,16.6,2,68864,Warangal,Family,2W,4,31662,4679,No,Regularly Late,72.67,363.35
Government,10th,6.6,4,38530,Warangal,Own,None,1,27721,11996,No,Sometimes Late,35.83,179.15
Other,Postgraduate,16.3,4,48839,Mahabubabad,Rent,2W,3,46701,4837,No,Sometimes Late,55.54,277.7
Gig Worker,Primary,8.8,4,110060,Mancherial,Own,2W,1,57976,26283,Yes,Always On Time,69.87,349.35
Trader,10th,5.5,5,79884,Adilabad,Own,2W,4,36855,35718,No,Regularly Late,51.53,257.65
Unemployed,Primary,2.3,0,25213,Mahabubabad,Family,None,4,22791,8449,Yes,Rarely Paid,36.06,180.3
Other,Primary,19.9,2,78053,Adilabad,Family,None,1,36874,24991,Yes,Regularly Late,82.21,411.05
Government,10th,13.0,1,102794,Medak,Family,Car,1,19361,18460,Yes,Rarely Paid,86.17,430.85
Gig Worker,Graduate,13.5,4,40088,Khammam,Family,None,3,32673,28379,Yes,Sometimes Late,46.96,234.8
Government,10th,15.0,2,115950,Adilabad,Family,None,1,6302,39335,No,Regularly Late,85.83,429.15
Government,Primary,0.7,4,31999,Hyderabad,Family,2W,1,7078,24258,Yes,Regularly Late,23.72,118.6
Trader,Primary,12.3,0,22493,Khammam,Own,None,2,19043,35300,Yes,Always On Time,49.7,248.5
Government,10th,0.0,5,114109,Rangareddy,Own,Car,3,57257,45789,Yes,Rarely Paid,53.33,266.65
Student,Graduate,1.7,3,111594,Bhadradri Kothagudem,Rent,2W,2,18726,865,No,Regularly Late,62.55,312.75
Farmer,Postgraduate,5.8,4,96182,Jagtial,Family,None,4,32228,44919,Yes,Always On Time,63.46,317.3
Farmer,Postgraduate,9.0,5,43495,Bhadradri Kothagudem,Rent,Car,4,31945,6229,No,Regularly Late,38.58,192.9
Farmer,Postgraduate,7.8,1,92058,Hyderabad,Rent,Car,2,44578,10707,No,Regularly Late,74.4,372.0
Unemployed,10th,11.4,0,18058,Khammam,Rent,Car,2,44397,14277,Yes,Regularly Late,46.13,230.65
Student,12th,6.5,1,62464,Medak,Family,None,1,14357,15040,Yes,Always On Time,57.65,288.25
Government,Primary,6.8,2,113758,Medak,Family,None,3,24960,22798,Yes,Sometimes Late,73.53,367.65
Labour,10th,3.5,3,42089,Bhadradri Kothagudem,Family,2W,3,26442,49368,No,Sometimes Late,36.29,181.45
Student,12th,10.3,5,67365,Warangal,Family,2W,1,38353,11413,No,Rarely Paid,52.47,262.35
Private,Primary,1.5,1,64191,Kamareddy,Own,2W,2,35710,44508,No,Always On Time,51.01,255.05
Farmer,12th,7.5,5,98294,Rangareddy,Own,Car,2,27642,47275,Yes,Always On Time,63.73,318.65
Government,Primary,17.7,0,76045,Kamareddy,Rent,Car,1,45836,20537,No,Rarely Paid,84.57,422.85
Unemployed,Graduate,18.3,4,98433,Nalgonda,Rent,Car,2,45971,18295,No,Sometimes Late,83.33,416.65
Farmer,Primary,2.2,0,112323,Mahbubnagar,Own,2W,1,58776,15719,No,Always On Time,73.3,366.5
Private,10th,19.5,2,14332,Nalgonda,Family,None,1,51085,38297,No,Always On Time,49.75,248.75
Labour,Graduate,11.3,0,63897,Kamareddy,Own,Car,3,45325,21912,Yes,Sometimes Late,68.9,344.5
Unemployed,Postgraduate,15.9,1,109300,Warangal,Own,Car,4,18470,10996,Yes,Regularly Late,90.52,452.6
Retired,12th,3.4,3,72493,Medak,Family,None,4,38769,12182,No,Always On Time,51.35,256.75
Farmer,10th,16.4,5,104033,Khammam,Family,None,2,52465,42295,No,Always On Time,77.93,389.65
Retired,Graduate,11.7,5,102538,Adilabad,Rent,Car,1,24277,27755,Yes,Sometimes Late,70.88,354.4
Student,10th,3.1,4,9852,Medchal,Rent,None,3,6900,6181,Yes,Always On Time,16.24,81.2
Trader,Postgraduate,8.4,3,78484,Mancherial,Own,None,2,14137,37481,No,Sometimes Late,61.84,309.2
Student,Postgraduate,15.6,4,76499,Nizamabad,Rent,Car,4,7927,32125,Yes,Always On Time,68.32,341.6
Trader,12th,18.5,3,113099,Bhadradri Kothagudem,Rent,None,2,44181,42235,No,Always On Time,87.75,438.75
Private,12th,18.0,4,81733,Mahbubnagar,Own,2W,3,46298,44883,Yes,Always On Time,74.53,372.65
Labour,10th,13.3,3,37369,Adilabad,Own,Car,2,15326,26831,No,Always On Time,48.63,243.15
Retired,Postgraduate,15.6,5,70456,Adilabad,Family,None,4,17847,20287,Yes,Rarely Paid,61.96,309.8
Retired,Primary,8.8,3,59312,Warangal,Own,None,2,41601,23323,No,Regularly Late,52.86,264.3
Private,Primary,13.9,1,56055,Bhadradri Kothagudem,Own,2W,2,50774,22832,Yes,Rarely Paid,65.54,327.7
Other,10th,0.9,1,22815,Jagtial,Rent,None,2,11941,44965,No,Always On Time,29.42,147.1
Other,Primary,5.5,5,112877,Bhadradri Kothagudem,Family,None,1,48741,686,No,Rarely Paid,61.58,307.9
Private,12th,9.6,0,33249,Warangal,Own,2W,2,57620,15304,Yes,Regularly Late,51.02,255.1
Gig Worker,Graduate,15.5,0,60467,Jagtial,Rent,None,4,56966,3896,No,Rarely Paid,73.48,367.4
Trader,Primary,0.0,0,63214,Rangareddy,Own,None,4,59742,47715,No,Regularly Late,51.61,258.05
Trader,10th,4.8,5,46011,Hyderabad,Own,Car,1,22739,30367,No,Regularly Late,33.54,167.7
Unemployed,Postgraduate,3.9,2,26579,Adilabad,Family,None,4,45823,14755,No,Rarely Paid,32.47,162.35
Unemployed,12th,6.3,2,74167,Adilabad,Family,2W,2,29884,44937,Yes,Always On Time,59.87,299.35
Government,10th,17.5,3,50139,Nizamabad,Rent,Car,2,56469,6648,No,Rarely Paid,61.32,306.6
Self-Employed,Postgraduate,15.3,1,48338,Siddipet,Own,Car,4,27959,23574,No,Rarely Paid,63.79,318.95
Self-Employed,Postgraduate,14.4,5,95292,Bhadradri Kothagudem,Own,Car,3,46465,16832,Yes,Rarely Paid,72.58,362.9
Student,10th,15.3,1,12013,Jagtial,Rent,Car,2,18932,40897,Yes,Sometimes Late,45.62,228.1
Private,12th,5.5,1,112986,Kamareddy,Own,2W,3,26820,26078,Yes,Sometimes Late,74.92,374.6
Labour,Primary,1.2,5,107934,Mancherial,Rent,None,4,25857,31070,No,Rarely Paid,55.13,275.65
Unemployed,Graduate,12.5,4,66646,Warangal,Family,Car,1,6805,10503,No,Rarely Paid,58.74,293.7
Trader,Graduate,10.5,4,67245,Jagtial,Family,2W,4,36913,45769,No,Regularly Late,56.04,280.2
Retired,Postgraduate,16.1,5,107751,Medak,Rent,Car,1,3932,39737,Yes,Rarely Paid,77.48,387.4
Gig Worker,Graduate,10.9,2,15066,Mahbubnagar,Rent,None,1,32825,49938,Yes,Sometimes Late,37.22,186.1
Other,Primary,8.7,5,116403,Mahabubabad,Rent,2W,1,45604,25041,No,Always On Time,66.38,331.9
Self-Employed,Postgraduate,11.8,1,59166,Medchal,Rent,None,1,4253,6217,No,Rarely Paid,63.95,319.75
Private,10th,11.0,0,26411,Siddipet,Family,Car,1,29279,28283,No,Regularly Late,49.71,248.55
Government,Primary,5.3,5,88028,Rangareddy,Rent,None,1,17162,18389,No,Rarely Paid,55.3,276.5
Retired,Primary,20.0,0,38496,Hyderabad,Rent,None,2,18419,19470,Yes,Always On Time,69.25,346.25
Self-Employed,12th,16.3,2,118972,Kamareddy,Family,None,2,54565,31748,Yes,Sometimes Late,87.78,438.9
Other,10th,5.0,2,65227,Nizamabad,Own,None,2,11296,6696,No,Rarely Paid,53.45,267.25
Trader,Primary,6.7,5,21360,Karimnagar,Own,None,2,9649,6000,Yes,Always On Time,24.06,120.3
Student,10th,11.0,5,27813,Mahabubabad,Own,2W,4,33394,5571,No,Rarely Paid,33.74,168.7
Labour,Graduate,5.8,2,14650,Mahabubabad,Rent,2W,4,57019,21893,No,Always On Time,29.36,146.8
Trader,Primary,1.8,1,63075,Khammam,Own,None,2,9892,35644,Yes,Always On Time,50.9,254.5
Government,12th,15.0,5,63759,Adilabad,Own,Car,2,32024,32104,Yes,Sometimes Late,57.71,288.55
Other,Postgraduate,4.0,1,115164,Khammam,Family,None,4,41874,12155,Yes,Sometimes Late,72.67,363.35
Farmer,10th,0.0,3,89797,Mancherial,Rent,None,3,22739,37620,No,Sometimes Late,54.9,274.5
Retired,Primary,4.7,0,49204,Karimnagar,Family,None,2,36715,34816,Yes,Always On Time,51.65,258.25
Government,Graduate,4.9,4,109634,Rangareddy,Rent,2W,3,20465,24863,No,Regularly Late,64.02,320.1
Self-Employed,10th,6.8,4,85034,Siddipet,Rent,Car,3,12305,24050,No,Rarely Paid,59.38,296.9
Student,Primary,6.0,2,32745,Kamareddy,Family,2W,4,41129,2988,Yes,Regularly Late,38.71,193.55
Unemployed,12th,3.4,3,49044,Medak,Family,None,3,46385,29693,No,Rarely Paid,39.62,198.1
Government,Postgraduate,1.6,5,111534,Siddipet,Own,None,3,37283,40803,Yes,Regularly Late,55.73,278.65
Self-Employed,Primary,17.0,5,36871,Jagtial,Rent,2W,2,45985,12781,No,Sometimes Late,47.27,236.35
Gig Worker,Primary,7.4,1,10241,Siddipet,Rent,2W,4,42013,12638,No,Rarely Paid,32.89,164.45
Self-Employed,Primary,16.4,5,80310,Bhadradri Kothagudem,Family,None,2,19680,19797,Yes,Rarely Paid,68.09,340.45
Retired,12th,7.5,0,48897,Hyderabad,Own,None,3,38134,15010,No,Regularly Late,55.7,278.5
Gig Worker,Postgraduate,3.1,2,72901,Bhadradri Kothagudem,Own,Car,1,52537,15043,No,Rarely Paid,54.43,272.15
Farmer,12th,14.2,0,65878,Mahbubnagar,Own,None,1,30875,23533,No,Always On Time,74.24,371.2
Government,Postgraduate,8.0,4,48437,Kamareddy,Rent,Car,2,25631,8957,Yes,Always On Time,42.89,214.45
Labour,Postgraduate,11.8,4,32978,Medchal,Family,2W,2,22273,17831,No,Sometimes Late,40.86,204.3
Private,12th,0.1,5,108289,Hyderabad,Rent,Car,4,27270,40338,Yes,Sometimes Late,53.48,267.4
Trader,Graduate,8.6,4,66045,Hyderabad,Family,Car,1,9644,33145,Yes,Rarely Paid,52.59,262.95
Unemployed,Primary,9.6,4,68210,Adilabad,Rent,None,1,15224,38402,Yes,Regularly Late,55.17,275.85
Student,Graduate,9.9,1,51828,Adilabad,Rent,None,4,22941,6841,Yes,Regularly Late,57.43,287.15
Farmer,Primary,10.3,0,34351,Mahabubabad,Family,2W,3,38068,28062,No,Sometimes Late,52.63,263.15
Gig Worker,12th,2.8,2,114348,Jagtial,Rent,2W,3,46908,44165,No,Regularly Late,67.53,337.65
Gig Worker,Primary,10.1,5,89234,Adilabad,Own,2W,1,14430,14803,Yes,Regularly Late,63.1,315.5
Unemployed,Primary,18.7,2,81905,Mancherial,Family,Car,4,58867,33905,No,Always On Time,82.34,411.7
Self-Employed,Graduate,10.3,0,30872,Mahbubnagar,Own,2W,2,34256,10215,Yes,Always On Time,50.89,254.45
Retired,12th,17.7,2,40511,Mancherial,Rent,None,4,20521,39972,Yes,Regularly Late,60.14,300.7
Trader,Postgraduate,12.3,4,75225,Rangareddy,Rent,None,1,30816,35203,Yes,Rarely Paid,62.73,313.65
Trader,Primary,19.0,0,69598,Nizamabad,Family,2W,1,38653,42820,Yes,Always On Time,83.3,416.5
Unemployed,Primary,15.8,5,102336,Adilabad,Family,None,3,8690,44043,No,Rarely Paid,77.03,385.15
Government,10th,4.3,3,109896,Nalgonda,Own,Car,4,14449,9185,Yes,Rarely Paid,66.45,332.25
Labour,Graduate,9.7,4,39293,Medchal,Family,None,4,46722,18991,Yes,Sometimes Late,40.86,204.3
Government,12th,7.0,0,72319,Jagtial,Family,Car,3,43040,19338,No,Rarely Paid,66.66,333.3
Unemployed,Postgraduate,2.4,0,110533,Nizamabad,Family,None,4,52589,2054,Yes,Always On Time,73.6,368.0
Unemployed,Primary,10.1,4,16862,Warangal,Family,Car,3,18380,3109,No,Always On Time,30.25,151.25
Private,Primary,12.0,3,109692,Kamareddy,Family,Car,1,46995,45022,No,Rarely Paid,78.0,390.0
Gig Worker,Primary,7.9,3,91049,Karimnagar,Rent,None,3,5947,8324,Yes,Always On Time,67.37,336.85
Unemployed,Graduate,8.2,5,98376,Karimnagar,Own,Car,3,29357,29374,No,Always On Time,64.82,324.1
Other,12th,18.9,5,15888,Nizamabad,Own,None,3,11943,18742,Yes,Always On Time,39.63,198.15
Retired,Primary,10.2,0,100945,Kamareddy,Family,None,2,4917,49739,Yes,Sometimes Late,85.3,426.5
Government,10th,5.5,2,105718,Medchal,Own,2W,4,59671,21420,Yes,Always On Time,71.58,357.9
Trader,12th,9.3,0,76620,Warangal,Family,2W,2,27353,7318,No,Rarely Paid,72.26,361.3
Unemployed,Primary,1.4,4,103798,Warangal,Rent,None,4,45055,48453,No,Regularly Late,58.77,293.85
Government,12th,10.3,1,105019,Jagtial,Family,None,2,7541,1818,Yes,Sometimes Late,82.12,410.6
Private,12th,5.2,3,73812,Mahbubnagar,Rent,None,3,53146,10945,No,Always On Time,54.71,273.55
Farmer,Postgraduate,2.7,0,115285,Nizamabad,Own,None,1,28406,39540,Yes,Always On Time,74.05,370.25
Other,Postgraduate,14.4,2,47034,Karimnagar,Family,None,2,47955,39158,No,Sometimes Late,58.45,292.25
Labour,Graduate,3.6,1,61793,Medak,Family,2W,3,59463,25218,Yes,Always On Time,52.96,264.8
Other,10th,13.4,1,24359,Bhadradri Kothagudem,Rent,2W,4,42197,19836,Yes,Regularly Late,48.95,244.75
Government,Postgraduate,5.0,5,118514,Rangareddy,Own,2W,4,19456,12522,No,Always On Time,60.83,304.15
Farmer,10th,9.1,3,32085,Jagtial,Own,Car,1,5796,32745,No,Rarely Paid,39.69,198.45
Retired,10th,19.3,5,108331,Hyderabad,Family,None,1,55356,21420,Yes,Always On Time,82.28,411.4
Labour,Postgraduate,6.0,0,65249,Bhadradri Kothagudem,Rent,Car,1,24974,696,Yes,Always On Time,61.62,308.1
Private,Postgraduate,16.7,1,113135,Medchal,Own,2W,2,57930,5283,No,Rarely Paid,91.72,458.6
Self-Employed,Postgraduate,4.8,0,85573,Mancherial,Own,Car,3,52423,11728,No,Rarely Paid,69.99,349.95
Private,12th,13.9,5,58040,Jagtial,Rent,Car,2,51696,25012,No,Regularly Late,53.2,266.0
Private,Postgraduate,10.3,1,114532,Kamareddy,Own,2W,1,16065,16182,No,Always On Time,82.12,410.6
Retired,10th,9.1,4,116408,Rangareddy,Family,Car,3,48565,7863,Yes,Sometimes Late,70.32,351.6
Gig Worker,Graduate,3.4,4,74720,Karimnagar,Family,None,4,57680,18636,Yes,Rarely Paid,49.13,245.65
Unemployed,10th,1.9,4,58186,Mancherial,Family,Car,3,35628,26296,Yes,Sometimes Late,38.61,193.05
Other,Graduate,11.2,4,98793,Mahbubnagar,Family,None,1,11278,22265,Yes,Regularly Late,72.86,364.3
Other,Graduate,9.6,1,11049,Rangareddy,Rent,None,1,48029,11047,Yes,Sometimes Late,36.59,182.95
Self-Employed,Primary,18.8,0,42644,Mahabubabad,Family,Car,3,38782,29870,Yes,Rarely Paid,69.52,347.6
Private,Postgraduate,17.5,4,54213,Bhadradri Kothagudem,Own,None,1,44161,3772,Yes,Always On Time,60.02,300.1
Trader,Postgraduate,1.1,1,32124,Bhadradri Kothagudem,Rent,Car,2,52823,40663,No,Rarely Paid,34.38,171.9
Government,Graduate,3.4,0,48418,Adilabad,Own,None,3,23131,20466,Yes,Sometimes Late,49.31,246.55
Farmer,Graduate,4.4,3,60205,Medchal,Rent,None,2,58030,10519,No,Always On Time,46.7,233.5
Farmer,Graduate,11.7,5,58952,Siddipet,Family,Car,4,24368,9023,Yes,Sometimes Late,50.36,251.8
Retired,12th,13.3,5,119591,Nizamabad,Own,None,1,35135,4558,No,Always On Time,73.28,366.4
Self-Employed,Postgraduate,5.2,2,76897,Kamareddy,Own,Car,4,11725,31291,Yes,Always On Time,59.58,297.9
Gig Worker,12th,13.1,4,51009,Nalgonda,Rent,None,4,13769,32969,Yes,Rarely Paid,51.82,259.1
Retired,10th,19.4,2,48459,Nalgonda,Own,Car,1,30237,42860,Yes,Regularly Late,66.66,333.3
Self-Employed,10th,11.0,0,117249,Siddipet,Rent,2W,4,57628,11895,Yes,Always On Time,86.5,432.5
Farmer,Postgraduate,9.0,0,90816,Khammam,Rent,2W,2,42501,8019,Yes,Sometimes Late,78.91,394.55
Gig Worker,Primary,3.5,5,51396,Jagtial,Own,None,4,13221,11019,Yes,Regularly Late,34.28,171.4
Government,10th,5.4,2,110440,Bhadradri Kothagudem,Rent,None,1,47215,31205,No,Always On Time,71.43,357.15
Self-Employed,12th,0.2,0,68179,Jagtial,Rent,Car,4,32582,2219,No,Regularly Late,54.39,271.95
Other,10th,12.9,1,15227,Khammam,Family,2W,1,43363,40311,Yes,Always On Time,43.63,218.15
Student,Graduate,11.8,0,99467,Mahabubabad,Rent,Car,1,5547,43447,Yes,Sometimes Late,87.43,437.15
Labour,12th,14.3,3,14987,Rangareddy,Family,Car,4,20590,37402,Yes,Sometimes Late,38.94,194.7
Student,12th,13.4,1,116457,Mancherial,Family,2W,2,34943,22924,No,Rarely Paid,86.77,433.85
Government,Graduate,12.5,5,91140,Adilabad,Family,2W,1,53354,19184,No,Rarely Paid,67.65,338.25
Labour,Primary,7.9,2,20203,Nizamabad,Rent,Car,3,52352,17396,No,Regularly Late,35.28,176.4
Labour,Postgraduate,12.2,5,65500,Nalgonda,Rent,Car,4,28407,7903,No,Regularly Late,54.38,271.9
Student,Postgraduate,8.1,1,77110,Warangal,Rent,Car,2,4906,15772,Yes,Sometimes Late,67.37,336.85
Labour,Primary,15.3,1,50645,Mahabubabad,Family,Car,1,34252,24880,No,Always On Time,64.94,324.7
Government,12th,11.1,0,97614,Mahbubnagar,Rent,Car,4,28821,41423,Yes,Sometimes Late,85.46,427.3
Unemployed,Primary,15.8,5,102772,Kamareddy,Family,2W,4,15132,43249,No,Regularly Late,77.03,385.15
Student,Primary,16.5,0,51859,Hyderabad,Rent,2W,1,10557,14512,No,Sometimes Late,70.68,353.4
Labour,Graduate,17.5,4,25600,Bhadradri Kothagudem,Own,2W,1,35119,7617,No,Regularly Late,45.72,228.6
Trader,12th,17.0,1,119207,Karimnagar,Family,Car,3,44807,24132,No,Rarely Paid,92.17,460.85
Self-Employed,Primary,17.4,4,46228,Adilabad,Family,None,2,22252,12909,Yes,Always On Time,55.88,279.4
Farmer,12th,19.3,0,99137,Siddipet,Own,Car,4,7271,8741,No,Regularly Late,98.52,492.6
Farmer,Postgraduate,5.6,1,70285,Mancherial,Rent,2W,4,9148,1111,No,Always On Time,60.21,301.05
Gig Worker,10th,0.0,0,83327,Hyderabad,Family,2W,3,42922,10311,No,Regularly Late,61.66,308.3
Retired,10th,9.5,5,102477,Bhadradri Kothagudem,Own,None,3,9780,16208,Yes,Rarely Paid,67.58,337.9
Farmer,10th,5.5,2,79530,Kamareddy,Own,Car,4,42634,4493,No,Regularly Late,61.35,306.75
Self-Employed,Graduate,2.8,5,108817,Mahabubabad,Own,None,1,4456,20798,No,Rarely Paid,57.53,287.65
Farmer,Graduate,1.1,1,105592,Nalgonda,Rent,2W,2,35333,11777,Yes,Regularly Late,68.32,341.6
Farmer,12th,15.1,5,79298,Warangal,Own,2W,2,34141,26507,Yes,Always On Time,65.63,328.15
Private,10th,15.4,5,101731,Mancherial,Own,None,2,24795,49746,No,Regularly Late,76.43,382.15
Private,12th,19.2,5,56606,Nizamabad,Own,None,2,5585,47055,Yes,Always On Time,60.44,302.2
Other,10th,2.1,1,107852,Bhadradri Kothagudem,Rent,2W,3,55012,40693,No,Regularly Late,69.82,349.1
Private,12th,5.5,1,72859,Adilabad,Own,None,4,21190,49931,Yes,Regularly Late,61.35,306.75
Student,10th,17.6,5,89538,Nizamabad,Rent,Car,1,40228,32218,No,Regularly Late,74.5,372.5
Trader,Postgraduate,1.1,5,105329,Rangareddy,Family,Car,4,50975,41065,Yes,Rarely Paid,54.98,274.9
Labour,Postgraduate,1.0,0,57070,Khammam,Rent,None,2,51604,1837,No,Rarely Paid,50.04,250.2
